Ride_ID,Timestamp,Month,Pickup_Location,Dropoff_Location,Fare_NPR,Payment_Method,Weather,Is_Peak_Hour,Is_Bottleneck_Zone,Driver_Rating,Ride_Status
1,8/21/2026 3:01,August,Lalitpur-Jhamsikhel,Koteshwor,191,Fonepay,Cloudy,0,1,,Canceled
2,6/14/2026 21:47,June,Koteshwor,Bhaktapur-Suryabinayak,190,Esewa,Heavy Monsoon Rain,0,1,,Canceled
3,6/4/2026 2:13,June,Thamel,Bhaktapur-Suryabinayak,221,Cash,Clear,0,0,4.6,Completed
4,8/29/2026 17:26,August,Thamel,Lalitpur-Jhamsikhel,159,Khalti,Clear,1,0,,Canceled
5,6/21/2026 22:27,June,Bhaktapur-Suryabinayak,Chabahil,322,Fonepay,Heavy Monsoon Rain,0,1,,Canceled
6,7/14/2026 3:05,July,Putalisadak,Kalanki,296,Khalti,Clear,0,1,,Canceled
7,8/17/2026 8:51,August,Kalanki,Putalisadak,256,Esewa,Heavy Monsoon Rain,0,1,5,Completed
8,7/19/2026 2:35,July,Lalitpur-Jhamsikhel,Balaju,218,Khalti,Cloudy,0,0,4.6,Completed
9,6/6/2026 21:14,June,Lalitpur-Jhamsikhel,Kalanki,171,Fonepay,Cloudy,0,1,4.1,Completed
10,7/29/2026 20:53,July,Bhaktapur-Suryabinayak,Koteshwor,421,Khalti,Heavy Monsoon Rain,0,1,3.8,Completed
11,7/5/2026 22:59,July,Koteshwor,Bhaktapur-Suryabinayak,343,Fonepay,Heavy Monsoon Rain,0,1,3.7,Completed
12,7/19/2026 8:59,July,Thamel,Putalisadak,148,Khalti,Cloudy,0,0,3.8,Completed
13,6/5/2026 10:25,June,Lalitpur-Jhamsikhel,Kalanki,365,Fonepay,Cloudy,1,1,,Canceled
14,6/28/2026 20:31,June,Putalisadak,Bhaktapur-Suryabinayak,193,Esewa,Clear,0,0,3.9,Completed
15,7/2/2026 23:35,July,Lalitpur-Jhamsikhel,Putalisadak,453,Esewa,Heavy Monsoon Rain,0,0,4,Completed
16,6/18/2026 16:31,June,Koteshwor,Balaju,299,Cash,Heavy Monsoon Rain,1,1,3.7,Completed
17,6/21/2026 21:27,June,Koteshwor,Lalitpur-Jhamsikhel,359,Esewa,Clear,0,1,,Canceled
18,8/7/2026 8:35,August,Kalanki,Putalisadak,358,Cash,Heavy Monsoon Rain,0,1,,Canceled
19,8/22/2026 10:07,August,Lalitpur-Jhamsikhel,Thamel,457,Fonepay,Cloudy,1,0,3.5,Completed
20,7/4/2026 16:48,July,Chabahil,Bhaktapur-Suryabinayak,462,Cash,Heavy Monsoon Rain,1,1,,Canceled
21,8/21/2026 16:38,August,Thamel,Koteshwor,262,Khalti,Clear,1,1,4.3,Completed
22,8/7/2026 0:38,August,Bhaktapur-Suryabinayak,Thamel,177,Cash,Clear,0,0,,Canceled
23,7/17/2026 9:15,July,Kalanki,Chabahil,211,Cash,Cloudy,1,1,,Canceled
24,8/2/2026 2:48,August,Chabahil,Koteshwor,204,Esewa,Cloudy,0,1,3.9,Completed
25,8/17/2026 13:13,August,Thamel,Putalisadak,453,Khalti,Heavy Monsoon Rain,0,0,5,Completed
26,8/23/2026 11:28,August,Balaju,Kalanki,399,Fonepay,Heavy Monsoon Rain,1,1,,Canceled
27,6/9/2026 10:01,June,Thamel,Bhaktapur-Suryabinayak,209,Fonepay,Heavy Monsoon Rain,1,0,,Canceled
28,6/10/2026 22:40,June,Kalanki,Chabahil,136,Cash,Cloudy,0,1,,Canceled
29,7/13/2026 2:32,July,Thamel,Chabahil,229,Esewa,Clear,0,1,4.3,Completed
30,8/13/2026 18:30,August,Thamel,Balaju,426,Esewa,Clear,1,0,3.8,Completed
31,6/13/2026 21:27,June,Bhaktapur-Suryabinayak,Thamel,359,Esewa,Cloudy,0,0,4.8,Completed
32,6/7/2026 21:41,June,Koteshwor,Kalanki,410,Esewa,Heavy Monsoon Rain,0,1,4.7,Completed
33,6/14/2026 7:12,June,Thamel,Bhaktapur-Suryabinayak,191,Esewa,Clear,0,0,4.1,Completed
34,7/6/2026 14:15,July,Koteshwor,Lalitpur-Jhamsikhel,145,Cash,Cloudy,0,1,,Canceled
35,8/23/2026 17:53,August,Kalanki,Koteshwor,266,Fonepay,Clear,1,1,,Canceled
